,stock,stockName,Index(Major index membership),P/E(Price-to-Earnings (ttm)),EPS (ttm)(Diluted EPS (ttm)),Insider Own(Insider ownership),Shs Outstand(Shares outstanding),Perf Week(Performance (Week)),Market Cap(Market capitalization),Forward P/E(Forward Price-to-Earnings (next fiscal year)),EPS next Y(EPS estimate for next year),Insider Trans(Insider transactions (6-Month change in Insider Ownership)),Shs Float(Shares float),Perf Month(Performance (Month)),Income(Income (ttm)),PEG(Price-to-Earnings-to-Growth),EPS next Q(EPS estimate for next quarter),Inst Own(Institutional ownership),Short Float(Short interest share),Perf Quarter(Performance (Quarter)),Sales(Revenue (ttm)),P/S(Price-to-Sales (ttm)),EPS this Y(EPS growth this year),Inst Trans(Institutional transactions (3-Month change in Institutional Ownership)),Short Ratio(Short interest ratio),Perf Half Y(Performance (Half Year)),Book/sh(Book value per share (mrq)),P/B(Price-to-Book (mrq)),EPS next Y(EPS growth next year),ROA(Return on Assets (ttm)),Target Price(Analysts' mean target price),Perf Year(Performance (Year)),Cash/sh(Cash per share (mrq)),P/C(Price to cash per share (mrq)),EPS next 5Y(Long term annual growth estimate (5 years)),ROE(Return on Equity (ttm)),52W Range(52-Week trading range),Perf YTD(Performance (Year To Date)),Dividend(Dividend (annual)),P/FCF(Price to Free Cash Flow (ttm)),EPS past 5Y(Annual EPS growth past 5 years),ROI(Return on Investment (ttm)),52W High(Distance from 52-Week High),Beta(Beta),Dividend %(Dividend yield (annual)),Quick Ratio(Quick Ratio (mrq)),Sales past 5Y(Annual sales growth past 5 years),Gross Margin(Gross Margin (ttm)),52W Low(Distance from 52-Week Low),ATR(Average True Range (14)),Employees(Full time employees),Current Ratio(Current Ratio (mrq)),Sales Q/Q(Quarterly revenue growth (yoy)),Oper. Margin(Operating Margin (ttm)),RSI (14)(Relative Strength Index),"Volatility(Volatility (Week, Month))",Optionable(Stock has options trading on a market exchange),Debt/Eq(Total Debt to Equity (mrq)),EPS Q/Q(Quarterly earnings growth (yoy)),Profit Margin(Net Profit Margin (ttm)),Rel Volume(Relative volume),Prev Close(Previous close),Shortable(Stock available to sell short),LT Debt/Eq(Long Term Debt to Equity (mrq)),Earnings(Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close),Payout(Dividend Payout Ratio (ttm)),Avg Volume(Average volume (3 month)),Price(Current stock price),Recom(Analysts' mean recommendation (1=Buy 5=Sell)),SMA20(Distance from 20-Day Simple Moving Average),SMA50(Distance from 50-Day Simple Moving Average),SMA200(Distance from 200-Day Simple Moving Average),Volume(Volume),Change(Performance (today))
10,lhx,L3Harris Technologies Inc,S&P 500,28.72,8.00,0.40%,224.47M,3.85%,51.60B,20.08,11.45,-3.42%,219.50M,8.79%,1.16B,1.27,2.78,84.50%,1.13%,17.31%,9.69B,5.32,40.10%,0.70%,1.93,7.19%,102.30,2.25,14.36%,6.80%,247.50,46.01%,4.46,51.55,22.55%,14.00%,155.92 - 228.50,16.17%,3.00,100.19,9.60%,13.50%,0.60%,0.84,1.31%,1.20,6.30%,30.90%,47.42%,4.08,18200,1.50,187.40%,13.00%,77.28,2.00% 1.68%,Yes,0.31,6.80%,12.00%,0.95,225.98,Yes,0.28,Feb 04 BMO,34.40%,1.29M,229.86,1.70,4.71%,10.60%,14.60%,"1,220,050",1.72%
11,kmx,CarMax Inc,S&P 500,18.68,5.16,0.43%,167.29M,-0.76%,16.11B,17.20,5.60,-31.21%,162.68M,10.59%,866.10M,1.54,1.12,-,9.81%,2.15%,19.68B,0.82,30.70%,0.01%,12.48,14.60%,22.51,4.28,8.51%,4.40%,107.17,60.18%,0.34,284.63,12.10%,24.50%,58.19 - 100.49,9.84%,-,-,17.20%,4.80%,-4.17%,1.13,-,0.50,7.60%,13.50%,65.49%,1.86,25946,2.40,11.50%,5.80%,52.36,1.77% 1.99%,Yes,4.08,-4.20%,4.40%,0.80,96.97,Yes,3.97,Dec 20 BMO,0.00%,1.28M,96.30,1.80,0.99%,1.86%,9.41%,"1,019,007",-0.69%
12,bll,Ball Corp,S&P 500,43.21,1.78,0.40%,331.30M,6.57%,25.48B,26.03,2.96,-16.09%,325.33M,19.31%,612.00M,2.71,0.67,84.60%,2.40%,15.39%,11.56B,2.20,12.90%,-0.11%,3.61,1.10%,10.16,7.57,18.25%,3.30%,76.15,44.42%,1.46,52.76,15.92%,16.10%,52.51 - 82.82,18.94%,0.60,63.08,1.20%,7.90%,-7.12%,0.65,0.78%,0.70,6.60%,19.60%,46.49%,2.11,17500,1.00,0.20%,8.00%,73.65,4.36% 2.84%,Yes,2.08,60.10%,4.80%,1.23,78.00,Yes,1.97,Feb 06 BMO,30.00%,2.16M,76.92,2.20,7.82%,14.15%,11.19%,"2,664,135",-1.38%
13,crm,salesforce.com Inc,S&P 500,185.53,1.00,0.20%,903.35M,1.87%,167.77B,59.87,3.10,-43.85%,852.67M,4.73%,779.00M,9.75,0.56,83.20%,1.69%,16.86%,15.85B,10.58,125.00%,0.04%,2.90,29.13%,37.86,4.91,7.00%,2.00%,198.33,19.87%,7.23,25.70,19.03%,3.60%,137.87 - 190.55,14.19%,-,49.99,42.30%,3.70%,-2.53%,1.22,-,1.10,26.70%,75.00%,34.71%,3.98,35000,1.10,33.00%,3.00%,61.66,2.29% 1.96%,Yes,0.10,-192.70%,4.60%,0.74,186.73,Yes,0.09,Mar 03 AMC,0.00%,4.96M,185.72,1.70,1.34%,8.56%,17.51%,"3,685,019",-0.54%
14,trow,T. Rowe Price Group Inc,S&P 500,15.89,8.70,0.80%,239.00M,3.53%,33.04B,14.92,9.26,-2.82%,225.60M,8.66%,2.08B,1.74,2.11,73.00%,2.63%,15.14%,5.62B,5.88,17.90%,0.04%,6.35,25.39%,29.12,4.75,4.70%,22.40%,137.77,47.47%,9.26,14.93,9.14%,29.80%,91.38 - 139.47,13.46%,3.04,44.55,13.60%,29.00%,-0.88%,1.04,2.20%,-,9.00%,-,51.28%,2.76,7225,-,2.30%,41.50%,67.32,1.87% 1.94%,Yes,0.00,-2.90%,34.30%,0.78,137.77,Yes,0.00,Jan 29 BMO,36.20%,935.49K,138.24,2.60,4.20%,8.81%,20.67%,"728,190",0.34%
15,pgr,Progressive Corp (The),S&P 500,15.57,5.35,0.20%,592.46M,3.19%,49.33B,14.50,5.74,-6.90%,582.94M,13.76%,3.14B,3.54,1.43,83.70%,1.02%,20.98%,36.29B,1.36,73.50%,2.14%,1.68,7.49%,23.33,3.57,7.59%,6.30%,84.18,26.72%,0.08,1074.69,4.40%,25.90%,64.99 - 83.76,18.54%,0.40,11.61,18.00%,18.90%,-0.60%,0.61,0.48%,-,12.00%,-,28.12%,1.47,37346,-,12.20%,11.70%,77.12,1.57% 1.67%,Yes,0.32,-9.50%,8.60%,0.63,83.06,Yes,0.32,Jan 29 BMO,52.40%,3.53M,83.26,2.20,7.23%,13.59%,12.01%,"2,211,883",0.24%
16,lmt,Lockheed Martin Corp,S&P 500,20.01,21.95,0.12%,287.20M,2.58%,126.13B,16.55,26.54,-12.31%,281.05M,6.85%,6.23B,2.28,5.83,80.20%,1.43%,15.63%,59.81B,2.11,34.30%,1.12%,3.67,16.44%,13.80,31.82,9.49%,12.30%,455.28,46.33%,8.84,49.68,8.78%,220.70%,292.53 - 439.86,12.79%,9.60,59.30,14.10%,41.90%,-0.16%,0.95,2.19%,1.10,3.50%,14.00%,50.13%,6.84,105000,1.30,6.00%,13.60%,68.53,1.41% 1.40%,Yes,3.48,10.20%,9.80%,0.80,438.97,Yes,3.25,Jan 28 BMO,41.60%,1.10M,439.17,2.20,2.80%,8.26%,16.52%,"881,150",0.05%
17,msi,Motorola Solutions Inc,S&P 500,31.96,5.62,0.10%,174.31M,1.39%,31.28B,20.94,8.57,-97.05%,170.97M,8.18%,982.00M,3.13,2.79,90.10%,1.50%,13.15%,7.77B,4.03,23.20%,0.25%,2.22,0.22%,-6.60,-,9.67%,10.50%,181.12,51.29%,6.53,27.49,10.23%,-93.60%,117.79 - 182.28,11.37%,2.56,25.73,8.40%,25.90%,-1.55%,0.53,1.43%,1.00,3.40%,48.90%,52.36%,3.19,16000,1.10,7.10%,18.50%,64.38,2.16% 1.72%,Yes,-,12.10%,13.50%,1.28,178.93,Yes,-,Feb 06 AMC,35.10%,1.15M,179.46,2.10,2.27%,6.87%,8.54%,"1,470,260",0.30%
18,noc,Northrop Grumman Corp,S&P 500,18.68,19.35,0.10%,173.17M,-3.51%,62.59B,13.67,26.44,-2.59%,167.80M,-2.40%,3.31B,1.78,5.50,84.00%,1.30%,5.06%,33.28B,1.88,-26.60%,0.10%,2.37,-2.04%,52.37,6.90,14.12%,5.60%,414.17,29.76%,12.96,27.88,10.51%,24.60%,263.29 - 385.01,5.07%,5.28,29.07,6.30%,16.20%,-6.13%,0.82,1.46%,1.00,7.10%,20.50%,37.27%,8.00,85000,1.10,6.90%,11.90%,42.89,1.91% 1.82%,Yes,1.57,-164.80%,6.80%,0.86,363.75,Yes,1.45,Jan 30 BMO,39.00%,921.47K,361.42,1.80,-3.86%,0.27%,4.94%,"788,378",-0.64%
19,flt,FleetCor Technologies Inc,S&P 500,28.73,10.68,1.50%,88.42M,-2.69%,27.12B,22.46,13.66,0.00%,85.21M,3.28%,963.30M,1.91,3.13,-,3.57%,4.32%,2.59B,10.46,38.70%,5.27%,4.24,3.51%,45.01,6.82,16.18%,8.30%,336.94,40.67%,11.97,25.62,15.06%,26.30%,212.54 - 329.85,6.62%,-,25.46,22.00%,10.20%,-7.00%,1.08,-,1.10,22.10%,-,44.33%,7.20,7580,1.10,9.90%,46.00%,45.88,1.55% 1.88%,Yes,1.15,27.30%,37.10%,3.15,328.85,Yes,0.85,Feb 06 AMC,0.00%,717.77K,306.76,2.20,-2.00%,1.02%,6.40%,"2,257,464",-6.72%
